island,species,year,source,lon,lat
Maui,Pellaea_ternifolia,2019,GBIF,-156.250175,20.71243
Maui,Pellaea_ternifolia,2021,GBIF,-156.24672,20.759338
Maui,Pellaea_ternifolia,2019,GBIF,-156.246534,20.759455
Maui,Pellaea_ternifolia,2016,GBIF,-156.239587,20.71072
Maui,Pellaea_ternifolia,2022,GBIF,-156.23846,20.73387
Maui,Pellaea_ternifolia,2018,GBIF,-156.237258,20.71255
Maui,Pellaea_ternifolia,2021,GBIF,-156.2338,20.737028
Maui,Pellaea_ternifolia,2021,GBIF,-156.23288,20.710472
Maui,Pellaea_ternifolia,2016,GBIF,-156.231514,20.71069
Maui,Pellaea_ternifolia,2020,GBIF,-156.231217,20.708745
Maui,Pellaea_ternifolia,2022,GBIF,-156.230484,20.744196
Maui,Pellaea_ternifolia,2021,GBIF,-156.217785,20.741569
Maui,Pellaea_ternifolia,2022,GBIF,-156.217531,20.755294
Maui,Pellaea_ternifolia,2018,GBIF,-156.216417,20.70648
Maui,Pellaea_ternifolia,2022,GBIF,-156.21582,20.755713
Maui,Pellaea_ternifolia,2021,GBIF,-156.215803,20.755654
Maui,Pellaea_ternifolia,2018,GBIF,-156.210433,20.73685
Maui,Pellaea_ternifolia,1962,GBIF,-156.2,20.7
Maui,Pellaea_ternifolia,1962,GBIF,-156.2,20.8
Maui,Pellaea_ternifolia,NA,GBIF,-156.182778,20.718611
Hawaii,Pellaea_ternifolia,2018,GBIF,-155.840012,19.7923
Hawaii,Pellaea_ternifolia,NA,GBIF,-155.583333,19.9
Hawaii,Pellaea_ternifolia,NA,GBIF,-155.5,19.5
Hawaii,Pellaea_ternifolia,NA,GBIF,-155.494389,19.699889
Hawaii,Pellaea_ternifolia,1957,GBIF,-155.467,19.8
Hawaii,Pellaea_ternifolia,NA,GBIF,-155.466667,19.533333
Hawaii,Pellaea_ternifolia,2019,GBIF,-155.465012,19.914728
Hawaii,Pellaea_ternifolia,1989,GBIF,-155.464546,19.530287
Hawaii,Pellaea_ternifolia,2022,GBIF,-155.46167,19.777775
Hawaii,Pellaea_ternifolia,1990,GBIF,-155.45144,19.715
Hawaii,Pellaea_ternifolia,2004,GBIF,-155.451,19.7359
Hawaii,Pellaea_ternifolia,2015,GBIF,-155.387319,19.500421
Hawaii,Pellaea_ternifolia,2022,GBIF,-155.384861,19.494482
Hawaii,Pellaea_ternifolia,2022,GBIF,-155.384598,19.49465
Hawaii,Pellaea_ternifolia,2022,GBIF,-155.384534,19.49438
Hawaii,Pellaea_ternifolia,NA,GBIF,-155.383333,19.5
Hawaii,Pellaea_ternifolia,2021,GBIF,-155.367416,19.368828
Hawaii,Pellaea_ternifolia,2022,GBIF,-155.335084,19.401849
Hawaii,Pellaea_ternifolia,1971,GBIF,-155.316667,19.349999
Hawaii,Pellaea_ternifolia,1961,GBIF,-155.3,19.4
Hawaii,Pellaea_ternifolia,2021,GBIF,-155.279083,19.343184
Kauai,Pellaea_ternifolia,NA,Pteridoportal,-159.636505,22.025268
Maui,Pellaea_ternifolia,2019,Pteridoportal,-156.2525,20.76971
Maui,Pellaea_ternifolia,2004,Pteridoportal,-156.215783,20.755667
Maui,Pellaea_ternifolia,1962,Pteridoportal,-156.2007,20.728485
